IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
170436559,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,05/27/2017,23:00,CENTRAL,NONE,500 Block of POWELL ST,-122.4085933108091,37.78955987007843,"(37.78955987007843, -122.4085933108091)",17043655905151
170026116,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Tuesday,01/10/2017,01:30,INGLESIDE,NONE,1500 Block of DOLORES ST,-122.42427195294903,37.74424552589155,"(37.74424552589155, -122.42427195294903)",17002611605083
170439309,BURGLARY,"BURGLARY, VEHICLE, ATT. (ARREST MADE)",Monday,05/29/2017,03:18,MISSION,"ARREST, BOOKED",3400 Block of 19TH ST,-122.4196065057032,37.76015608067439,"(37.76015608067439, -122.4196065057032)",17043930905015
170439519,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Friday,05/26/2017,10:00,MISSION,NONE,400 Block of SAN BRUNO AV,-122.40546877590589,37.763925919533754,"(37.763925919533754, -122.40546877590589)",17043951905043
170439525,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,05/28/2017,22:00,BAYVIEW,NONE,1300 Block of 18TH ST,-122.39604808429235,37.76255346111434,"(37.76255346111434, -122.39604808429235)",17043952505071
170441423,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Sunday,05/21/2017,18:00,PARK,NONE,400 Block of FREDERICK ST,-122.45073601087144,37.766602898747074,"(37.766602898747074, -122.45073601087144)",17044142305073
170441780,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Saturday,05/27/2017,12:45,TARAVAL,NONE,300 Block of BYXBEE ST,-122.46993389201974,37.72066640092321,"(37.72066640092321, -122.46993389201974)",17044178005043
170441796,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Tuesday,05/30/2017,01:30,TARAVAL,NONE,2200 Block of CECILIA AV,-122.472101144619,37.74600666350211,"(37.74600666350211, -122.472101144619)",17044179605081
170442261,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Sunday,05/28/2017,18:30,PARK,NONE,2600 Block of GEARY BL,-122.44661297883863,37.782245822391744,"(37.782245822391744, -122.44661297883863)",17044226105053
170442299,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,05/29/2017,05:12,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.41256321850805,37.7857850619382,"(37.7857850619382, -122.41256321850805)",17044229905151
170442471,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Monday,05/29/2017,17:30,TARAVAL,NONE,2500 Block of 44TH AV,-122.50221035096945,37.73905834952687,"(37.73905834952687, -122.50221035096945)",17044247105071
170442807,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Thursday,05/25/2017,20:00,MISSION,NONE,300 Block of ALABAMA ST,-122.41228473663931,37.76483328443897,"(37.76483328443897, -122.41228473663931)",17044280705073
170443350,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Tuesday,05/30/2017,14:00,CENTRAL,"ARREST, BOOKED",MASON ST / BAY ST,-122.41360960204815,37.80561887976321,"(37.80561887976321, -122.41360960204815)",17044335005014
170443902,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Tuesday,05/23/2017,18:00,MISSION,NONE,3500 Block of 18TH ST,-122.42338329092578,37.76164616514305,"(37.76164616514305, -122.42338329092578)",17044390205043
170445061,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,05/31/2017,01:29,NORTHERN,NONE,1800 Block of SUTTER ST,-122.4307696276346,37.7863477590184,"(37.7863477590184, -122.4307696276346)",17044506105011
170445362,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Sunday,04/23/2017,17:00,SOUTHERN,NONE,300 Block of BERRY ST,-122.39666141527148,37.77309561200369,"(37.77309561200369, -122.39666141527148)",17044536205073
170445566,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Wednesday,05/31/2017,05:15,SOUTHERN,NONE,0 Block of MINT ST,-122.4074792525902,37.78236253926643,"(37.78236253926643, -122.4074792525902)",17044556605153
170446768,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Sunday,05/28/2017,18:30,CENTRAL,NONE,1000 Block of PINE ST,-122.4130959136574,37.79051170493799,"(37.79051170493799, -122.4130959136574)",17044676805013
170446912,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Saturday,05/27/2017,15:00,MISSION,NONE,0 Block of FAIROAKS ST,-122.42429576187274,37.75589264860069,"(37.75589264860069, -122.42429576187274)",17044691205083
170447904,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Wednesday,05/31/2017,18:30,CENTRAL,NONE,700 Block of NORTHPOINT ST,-122.4195705165635,37.805878089619384,"(37.805878089619384, -122.4195705165635)",17044790405051
170447998,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Wednesday,05/31/2017,21:01,MISSION,NONE,1100 Block of FLORIDA ST,-122.41007271358085,37.753528626193784,"(37.753528626193784, -122.41007271358085)",17044799805043
170448134,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,06/01/2017,10:00,MISSION,"ARREST, BOOKED",2400 Block of MISSION ST,-122.41888729306457,37.75762172120293,"(37.75762172120293, -122.41888729306457)",17044813405053
170027904,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Sunday,01/08/2017,00:17,CENTRAL,NONE,300 Block of PINE ST,-122.40207099476714,37.792018549465276,"(37.792018549465276, -122.40207099476714)",17002790405151
170449314,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Saturday,05/20/2017,04:00,CENTRAL,NONE,1200 Block of HYDE ST,-122.41778207237098,37.79256878135199,"(37.79256878135199, -122.41778207237098)",17044931405083
170449615,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,06/01/2017,03:00,SOUTHERN,NONE,100 Block of LANGTON ST,-122.40738897308732,37.7756106325157,"(37.7756106325157, -122.40738897308732)",17044961505083
170451052,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,05/25/2017,00:01,BAYVIEW,NONE,0 Block of NORTHRIDGE RD,-122.37551296863481,37.73080660958202,"(37.73080660958202, -122.37551296863481)",17045105205013
170451397,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,06/01/2017,11:30,TARAVAL,NONE,100 Block of IDORA AV,-122.45764056975833,37.744029151942605,"(37.744029151942605, -122.45764056975833)",17045139705083
170451494,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,06/02/2017,12:27,BAYVIEW,NONE,5100 Block of 3RD ST,-122.39153104318598,37.73200841059462,"(37.73200841059462, -122.39153104318598)",17045149405013
170451977,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",Sunday,05/28/2017,12:00,NORTHERN,NONE,1500 Block of CALIFORNIA ST,-122.4198666939337,37.79062691003078,"(37.79062691003078, -122.4198666939337)",17045197705033
170452903,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,06/02/2017,09:00,CENTRAL,NONE,1000 Block of CHESTNUT ST,-122.42066681202401,37.802862771128666,"(37.802862771128666, -122.42066681202401)",17045290305073
170453791,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,06/01/2017,18:00,CENTRAL,"ARREST, BOOKED",2200 Block of HYDE ST,-122.41945314949659,37.80154618382329,"(37.80154618382329, -122.41945314949659)",17045379105013
170454103,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Friday,06/02/2017,18:00,TARAVAL,NONE,2500 Block of 44TH AV,-122.50221035096945,37.73905834952687,"(37.73905834952687, -122.50221035096945)",17045410305041
170050983,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,01/01/2017,20:00,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.41714480239858,37.7121502932531,"(37.7121502932531, -122.41714480239858)",17005098305043
